もう すでに あの 会社 の 実権 を 息子 に 譲っ て ます けど も 	あっ 
できる だけ 	そう な ん です か 
できる だけ サポート を し て いき たい な と 	そう です ね 
できる だけ サポート を し て いき たい な と 	は 
できる だけ サポート を し て いき たい な と 	そう です ね 
いう ふう に 	助け て あげ て ください 
いう ふう に 	あー 
いう ふう に 	まだ ご 一緒 に 
いう ふう に 思っ て い ます 	ねぇ きっと 
いう ふう に 思っ て い ます 	あー そう な ん です ね 
いう ふう に 思っ て い ます 	へえ 
いう ふう に 思っ て い ます 	そう いう こと です ね 
我が家 は あの 千駄ヶ谷 な もん です から 	はい えー えー 千駄ヶ谷 
我が家 は あの 千駄ヶ谷 な もん です から 	あ はい 
我が家 は あの 千駄ヶ谷 な もん です から 	え はい 
えー 千駄ヶ谷 じゃ ない 代々木 と 千駄ヶ谷 の 	あっ 
えー 千駄ヶ谷 じゃ ない 代々木 と 千駄ヶ谷 の あいだ な 	あ 間 で 
えー 千駄ヶ谷 じゃ ない 代々木 と 千駄ヶ谷 の あいだ な もん です から 	あっ はい えー えー 
えー 千駄ヶ谷 じゃ ない 代々木 と 千駄ヶ谷 の あいだ な もん です から 	あ はい 
えー 千駄ヶ谷 じゃ ない 代々木 と 千駄ヶ谷 の あいだ な もん です から 	あ そう な ん です ね 
えー 千駄ヶ谷 じゃ ない 代々木 と 千駄ヶ谷 の あいだ な もん です から 	はー そう な ん です ね 
代々木 まで 歩い て 	はい あっ はい 
えー 	歩い て 
代々木 から 大 江戸 線 で 	はい 大 江戸 線 乗っ て 
都庁 前 	はい 都庁 前 
若松 河田 で 降り 	あ はい 
来 まし た 	あ はい そう です か 
来 まし た 	いらっしゃっ た はい あ そう お 疲れ 様 です 
来 まし た 	うん ありがとう ござい ます 
んー あと 何 を 言う ん です か ね 	ふふ そー です よ ねー 
んー あと 何 を 言う ん です か ね 	ん ふ 
んー あと 何 を 言う ん です か ね 	ん はははは はっ はは 
んー あと 何 を 言う ん です か ね 	あはっ はい お 願い し ます 
んー あと 何 を 言う ん です か ね 	あはは 
えー 	む ず かしい です 
えー 	ん ふっ 困り ます ねー 
えー 	どう でしょう か もう 少し 
あの 最近 こう 気温 が 高い もん です から 	そう です よ ね 
あの 最近 こう 気温 が 高い もん です から 	気温 が 高い です ね 
あの 最近 こう 気温 が 高い もん です から 	あ そう です ね 
えー 	暑い です ね 
普段 は 被ら ない 帽子 を 今日 は 	あっ 
普段 は 被ら ない 帽子 を 今日 は 	あ そう です か 
普段 は 被ら ない 帽子 を 今日 は 	あっ そう です 
普段 は 被ら ない 帽子 を 今日 は 	はあ 
普段 は 被ら ない 帽子 を 今日 は 	あー 
普段 は 被ら ない 帽子 を 今日 は 	あ かぶっ て き た ん です か 
あー 	それ が いい です 
あー 被っ て 	そー そー な ん です ねー お 帽子 かぶら れ た 
あー 被っ て 	暑 た さ 暑 暑い から です か ね 
あー 被っ て 	あー そう だっ た ん です ね 
あー 被っ て 	普段 は かぶら れ ない ん です ね 帽子 は 
あー 被っ て 	はい はい うん 暑い です もん ね 
あー 被っ て 	あー ありがとう ござい ます 
来 まし た 	あー そー です かー 
来 まし た 	は そう です か 
えー ちょっと 恥ずかしい よう な 	いえ いえ 
えー ちょっと 恥ずかしい よう な 	ええ 
えー ちょっと 恥ずかしい よう な 思い も 	そ 
えー ちょっと 恥ずかしい よう な 思い も 	いや そんな こと ない です 
えー ちょっと 恥ずかしい よう な 思い も し まし た けど も 	お 似合い です よー 
えー ちょっと 恥ずかしい よう な 思い も し まし た けど も 	え そう な ん です か 
えー ちょっと 恥ずかしい よう な 思い も し まし た けど も 	ああ そう な ん です か 
えー ちょっと 恥ずかしい よう な 思い も し まし た けど も 	い えいえい えー 
えー ちょっと 恥ずかしい よう な 思い も し まし た けど も 	そう です か うん 
