,input,answer,predict
5366,11時半頃,十一時半に,十たうーん
7555,11時半頃,いらっしゃったうーん,十たうーん
3040,15分ぐらいまで,あっ,あはい
29,15分ぐらいまで,十五分,あはい
13571,15分ぐらいまで駅に,あはい,15分はい
13829,15分ぐらいまで駅に,15分はい,15分はい
9881,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,あそうですか
740,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,あそうですか
11399,15分ぐらいまで駅に着くまでにかかりました,あそうですか,あそうですか
3495,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,あそうですか
17601,15分前に,凄いです,予定通りああ
7029,15分前に,あっ,予定通りああ
8170,15分前に,や,予定通りああ
15710,15分前に,予定通りああ,予定通りああ
14045,15分前に事務所に,十五分前で,あっ
10744,15分前に事務所に,あっ,あっ
205,15分前に事務所に着きました,あそうですか,あ
560,15分前に事務所に着きました,あ計画通りで,あ
9833,15分前に事務所に着きました,あーはい,あ
250,15分前に事務所に着きました,あーそーなんですねー,あ
3153,15分前に事務所に着きました,そうなんですね,あ
14483,15分前に事務所に着きました,あ,あ
100,15分前に事務所に着きました,あ,あ
7207,15分前に事務所に着きました,あそうなんですね,あ
9121,15分前に事務所に着きました,あ丁度いい具合に,あ
9944,16年間その先生にお世話になって,あー長い間,長いですね
932,16年間その先生にお世話になって,十六年もですか,長いですね
15992,16年間その先生にお世話になって,長いですね,長いですね
12001,18歳以上でないとあのやる,うーん,あっ
15449,18歳以上でないとあのやる,あっ,あっ
1756,18歳以上でないとあのやることができ,あーそうなんですか,ああ
11428,18歳以上でないとあのやることができ,ああ,ああ
1174,18歳以上でないとあのやることができ,あっそうなんですね,ああ
12843,18歳以上でないとあのやることができ,ああ,ああ
4050,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,ああ
11691,1964年昭和,うんうーん六十四年,あーはいはいはい
700,1964年昭和,あーはいはいはい,あーはいはいはい
13179,1センチ5ミリぐらいの,そうです,そうです
13240,1回も行っておりませんので,あ,あーそうなんですか
15731,1回も行っておりませんので,あーそうなんですね,あーそうなんですか
44,1回も行っておりませんので,はあそうですか,あーそうなんですか
3172,1回も行っておりませんので,うーんうーん,あーそうなんですか
5115,1回も行っておりませんので,そうなんですか,あーそうなんですか
11077,1回も行っておりませんので,あー遠のいてしまったんですね,あーそうなんですか
6972,1回も行っておりませんので,ああ,あーそうなんですか
7311,1回も行っておりませんので,あーそーなんですねー,あーそうなんですか
3694,1回も行っておりませんので,あーそうなんですか,あーそうなんですか
14540,1回も行っておりませんのでもう,お姉ちゃんといつも,あーそうなんですか
15637,1回も行っておりませんのでもうここ,うーん,うーん
15133,1日中家にいながらも,あそうなんですか,うーんあ
3210,1日中家にいながらも,ああ,うーんあ
13435,1日中家にいながらも,うーんあ,うーんあ
9689,1日中家にいながらもあの,おうちでですね,おうちでですね
1491,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,多趣味
17700,1日中家にいながらもあのやっておりまして,ええええへえ,多趣味
1871,1日中家にいながらもあのやっておりまして,あっ,多趣味
13374,1日中家にいながらもあのやっておりまして,多趣味うん,多趣味
8481,1日中家にいながらもあのやっておりまして,へえ,多趣味
3746,1日中家にいながらもあのやっておりまして,あーはいはい,多趣味
5410,1時間ぐらい前に,あへー,一時間もですか
2786,1時間ぐらい前に,えー,一時間もですか
10375,1時間ぐらい前に,一時間もですか,一時間もですか
13597,1泊泊まって,へえ,へえ
2958,1泊泊まって,あ,へえ
9995,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あはいそうなんですか,あーそーですか
5404,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あーそーですか,あーそーですか
6316,1番っていわれるとわたくしはちょっと戸惑ってしまいます,うーん,あーそーですか
1591,20代だいぶ昔の話ですけれども,あはい,えはい
1545,20代だいぶ昔の話ですけれども20代の後半に,あ,えはい
15626,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,あはいあそうなんですね,ええああ女子
11039,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,へーはい,ええああ女子
1644,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええあー,ええああ女子
10955,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええああ女子,ええああ女子
11451,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あー
2068,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あー
963,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,ああ,あ
7374,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,あ,あ
10790,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に,あー,あー
16643,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あ,あー
9301,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あー,あー
14177,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,いいですね,あー
11855,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,軽井沢に,うーん
1395,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,いいですね,うーん
11617,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,素敵ですね,うーん
7200,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,うーん,うーん
8077,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に,旅行,旅行
16424,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に行こうということに,あ,あ
4500,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に行こうということになったんです,はー,はー
3878,20年代戦後間もない,二十年代戦後ですね,二十年代戦後ですね
3665,20年代戦後間もない頃ですが,そうですよね,そうですよね
4463,20年代戦後間もない頃ですが,あーはいはい,そうですよね
7617,2つのおはじきの,ええええええああああ,はいうん二つの
39,2つのおはじきの,ああ,はいうん二つの
11148,2つのおはじきのあいだを,あはい,指ではいはい
6232,2つのおはじきのあいだを,あーそうでしたね,指ではいはい
2866,2つのおはじきのあいだを,あーはいはいはい,指ではいはい
1212,2つのおはじきのあいだを,指でうん,指ではいはい
1985,2つのおはじきを,あはい,はいうん二つの
1767,2つのおはじきを,はいうん二つの,はいうん二つの
15776,2人して何かあのー計画しあのー,うんわーうーん,うんはいへー
4317,2人して何かあのー計画しあのー,はいはいへー,うんはいへー
2144,2年で辞めまして,あはい,あーはい
6172,2年で辞めまして,はいあ,あーはい
9566,2年で辞めまして,えっ,あーはい
2483,2年で辞めまして,あーはい,あーはい
1190,2年で辞めまして,そうなんですか,あーはい
3743,2年で辞めまして,はいあーそうだったんですか,あーはい
1731,2年で辞めまして,あーそうだったんですか,あーはい
13986,2年で辞めまして,ええあはい,あーはい
15444,2年で辞めましてその後,そうなんですか,そうなんですか
16292,2年で辞めましてその後文化服装学院の大学の,あはい,あはい
177,2年で辞めましてその後文化服装学院の大学の方に入りまして,そちらのほうにええ,あーそうなんですねー
10689,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で,ああ,ああ
11345,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,あデザイン科で勉強されて,へー凄い
3951,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,ええ凄いですね,へー凄い
16981,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,あーそうなんですねー,へー凄い
6908,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,へー凄い,へー凄い
1579,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして4年間そこに行きました,あ,へー
2077,2年連続,はい二年連続で,あ
1615,2本のうち1本当たりましたので,へー,あー
1612,2本のうち1本当たりましたので,わー凄いですね,あー
1693,2本のうち1本当たりましたので,わーす素晴らしいですねー,あー
15755,2本のうち1本当たりましたので,あ,あー
3923,2本のうち1本当たりましたので,あっわー凄いですね,あー
11067,2本のうち1本当たりましたので,あっえー良かったじゃないですか,あー
13686,2本のうち1本当たりましたので,わっ素晴らしい,あー
2819,2本のうち1本当たりましたので,あー良かったです,あー
13075,2本のうち1本当たりましたので,やっ凄いですー視力がいいんですね,あー
17087,2泊,二泊,二ーそうですかー
4886,2泊,わーそうですかー,二ーそうですかー
3477,2泊,二泊,二ーそうですかー
10605,2泊泊まってそれで,あ,泊まられて
11676,2泊泊まってそれで,へえ,泊まられて
6238,2泊泊まってそれで年末の,泊まられて,泊まられて
4424,2泊泊まってそれで年末の31日に,あ,泊まられて
5078,2泊泊まってそれで年末の31日に父親が,えっそんなに,泊まられて
852,2泊泊まってそれで年末の31日に父親が,年末から,泊まられて
9504,2泊泊まってそれで年末の31日に父親が迎えに来て帰って,あー,あー
676,300メートルばかり,ええ,ええ
15012,30人,ええ,あ
7584,30人,三十人も,あ
17412,30人,うーん,あ
2310,30人,はいあー,あ
10153,30人,ほー,あ
6914,30人,三十名で,あ
7666,30人,あ,あ
1988,30人,ほー,あ
13172,30人,えっ三十人も,あ
5820,30人,えっ,あ
15466,30人,はー,あ
36,31日に,そうですよね,はぁー
6140,31日に帰っていくのですが,へえ,へえ
10042,31日に帰っていくのですが,あーそうだったんですねー,へえ
14844,31日に帰っていくのですが,あー,へえ
10899,31日に帰っていくのですが私は,そうなんです,はあ
3797,31日に帰っていくのですが私は,はあ,はあ
2537,31日に帰っていくのですが私はその子と会うのがとても楽しみで,うんあそうなんですか,そうですね
1725,31日に帰っていくのですが私はその子と会うのがとても楽しみで,可愛い,そうですね
5374,31日に帰っていくのですが私はその子と会うのがとても楽しみで,そうですね,そうですね
17214,31日に帰っていくのですが私はその子と会うのがとても楽しみで,そうですね楽しいですね,そうですね
1462,31日に帰っていくのですが私はその子と会うのがとても楽しみで,ええええええええそうですよね,そうですね
15859,39年ですけれども,よん三十九年ですかねええ,よん三十九年ですかねええ
1779,39年ですけれども,三十そうですねはい,よん三十九年ですかねええ
3045,39年ですけれども,はい昭和三十九年,よん三十九年ですかねええ
8712,3人とも勤め先が違いますので,ええええあそうなんですね,あーはい
1393,3人とも勤め先が違いますので,あーはい,あーはい
14415,3人とも勤め先が違いますのでえーとどこの駅でしたか集合ということで急行電車に,待ち合わせして,待ち合わせして
9240,3年間の,凄い,凄い
4518,3年間の,良かったですね,凄い
4079,3年間の付き合いを持って,へえ,うーん
190,3年間の付き合いを持って,やりましたねええ,うーん
8532,3年間の付き合いを持って,うーん,うーん
9691,3年間の付き合いを持って,はぁー,うーん
16057,40代の,凄い,凄いです
357,40代の,凄いです,凄いです
12517,40代の,大正琴三十年やってるんですか,凄いです
15003,40代の,そうです,凄いです
