,input,answer,predict
15939,11時半頃,十一時半に,あー
18757,11時半頃,いらっしゃったうーん,あー
17922,15分ぐらいまで,あっ,あー
3271,15分ぐらいまで,十五分,あー
2890,15分ぐらいまで駅に,あはい,あー
6982,15分ぐらいまで駅に,15分はい,あー
16167,15分ぐらいまで駅に着くまでにかかりました,あそうですか,あーえええね
10062,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,あー
15705,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,あー
14690,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,あー
3193,15分前に,あっ,あー
252,15分前に,通りああ,あー
8882,15分前に,凄いです,あー
10932,15分前に,や,あー
16087,15分前に事務所に,十五分前で,あー
1987,15分前に事務所に,あっ,あー
783,15分前に事務所に着きました,そうなんですね,あー
7503,15分前に事務所に着きました,あ丁度いい具合に,あー
2856,15分前に事務所に着きました,あーそーなんですねー,あー
220,15分前に事務所に着きました,あそうなんですね,あー
18698,15分前に事務所に着きました,あ計画通りで,あー
19002,15分前に事務所に着きました,あ,あー
4898,15分前に事務所に着きました,あーはい,あー
8421,15分前に事務所に着きました,あそうですか,あー
2994,16年間その先生にお世話になって,長いですね,あー
17142,16年間その先生にお世話になって,十六年もですか,あー
1888,16年間その先生にお世話になって,あー長い間,あー
1054,18歳以上でないとあのやる,うーん,あー
10941,18歳以上でないとあのやる,あっ,あー
6067,18歳以上でないとあのやることができ,あっそうなんですね,あー
15394,18歳以上でないとあのやることができ,ああ,あーです
18365,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,あーですねね
5023,18歳以上でないとあのやることができ,ああ,あー
88,18歳以上でないとあのやることができ,あーそうなんですか,あー
15011,1964年昭和,あーはいはいはい,あー
1525,1964年昭和,うんうーん六十四年,あー
1177,1センチ5ミリぐらいの,そうです,あー
5490,1回も行っておりませんので,あーそうなんですか,あー
7442,1回も行っておりませんので,ああ,あー
879,1回も行っておりませんので,あーそーなんですねー,あー
651,1回も行っておりませんので,あ,あー
6408,1回も行っておりませんので,あー遠のいてしまったんですね,あー
1250,1回も行っておりませんので,そうなんですか,あー
8289,1回も行っておりませんので,あーそうなんですね,あー
11138,1回も行っておりませんのでもう,お姉ちゃんといつも,あー
9118,1回も行っておりませんのでもうここ,うーん,あー
833,1日中家にいながらも,ああ,あー
10039,1日中家にいながらも,あそうなんですか,あー
19956,1日中家にいながらも,うーんあ,あー
14319,1日中家にいながらもあの,おうちでですね,あー
2969,1日中家にいながらもあのやっておりまして,多趣味うん,あー
17030,1日中家にいながらもあのやっておりまして,へえ,あー
18552,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,あー
12578,1日中家にいながらもあのやっておりまして,あっ,あー
3174,1日中家にいながらもあのやっておりまして,あーはいはい,あー
17765,1時間ぐらい前に,えー,あーですねね
392,1時間ぐらい前に,一時間もですか,あー
7479,1時間ぐらい前に,あへー,あー
3134,1泊泊まって,あ,あー
8471,1泊泊まって,へえ,あー
13954,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あーそーですか,あー
7091,1番っていわれるとわたくしはちょっと戸惑ってしまいます,うーん,あー
440,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あはいそうなんですか,あー
9304,20代だいぶ昔の話ですけれども,あはい,あー
17720,20代だいぶ昔の話ですけれども20代の後半に,あ,あー
5987,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,あはいあそうなんですね,あー
8724,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええあー,あー
18401,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええああ女子,あー
532,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,へーはい,あー
11308,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あー
11149,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あー
14140,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,あ,あー
4518,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,ああ,あー
6339,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に,あー,あー
17455,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あ,あー
11015,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あー,あー
3685,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,いいですね,あー
11619,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,うーん,あー
2772,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,いいですね,あー
3358,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,軽井沢に,あー
1103,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に,旅行,あー
5766,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に行こうということに,あ,あー
17928,20年代戦後間もない,二十年代戦後ですね,あー
10728,20年代戦後間もない頃ですが,そうですよね,あー
109,20年代戦後間もない頃ですが,あーはいはい,あー
11598,2つのおはじきの,ええええええああああ,あー
5725,2つのおはじきの,ああ,あーー
14614,2つのおはじきのあいだを,あはい,あー
770,2つのおはじきのあいだを,指でうん,あー
2349,2つのおはじきのあいだを,あーそうでしたね,あー
13657,2つのおはじきのあいだを,あーはいはいはい,あー
2972,2つのおはじきを,はいうん二つの,あー
