,input,answer,predict
9132,11時半頃,いらっしゃったうーん,へえ
3676,11時半頃,十一時半に,そんなに
654,15分ぐらいまで,十五分,あははっうん
6500,15分ぐらいまで,あっ,えなんですか
12691,15分ぐらいまで駅に,15分はい,素晴らしいですへー
2739,15分ぐらいまで駅に,あはい,あ読んだりですねうんうんうん
13687,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,う
5096,15分ぐらいまで駅に着くまでにかかりました,あそうですか,機械ですか
18148,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,うですもんね
12637,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,う
2412,15分前に,あっ,あーやっあ
252,15分前に,予定通りああ,えうちなか
13563,15分前に,凄いです,はーあはい
1371,15分前に,や,そうですね
18320,15分前に事務所に,あっ,わえ
1227,15分前に事務所に,十五分前で,ああー面白いですねー
783,15分前に事務所に着きました,そうなんですね,うんいい
6662,15分前に事務所に着きました,あそうですか,あー自分達で作る
970,15分前に事務所に着きました,あ丁度いい具合に,はいーいいですね
220,15分前に事務所に着きました,あそうなんですね,あえ
19617,15分前に事務所に着きました,あーはい,いいいことだと思います
14911,15分前に事務所に着きました,あーそーなんですねー,へーはい
10674,15分前に事務所に着きました,あ計画通りで,はいはいそいですうん
305,15分前に事務所に着きました,あ,アブー
19136,16年間その先生にお世話になって,あー長い間,わー
6721,16年間その先生にお世話になって,十六年もですか,うーん
14970,16年間その先生にお世話になって,長いですね,あーそうなんですね
1054,18歳以上でないとあのやる,うーん,へ見たかったです
6908,18歳以上でないとあのやる,あっ,あい達成感が
11096,18歳以上でないとあのやることができ,ああ,あーそですね
7289,18歳以上でないとあのやることができ,ああ,ええあはい
12258,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,はは
5328,18歳以上でないとあのやることができ,あっそうなんですね,あーはいですよね
88,18歳以上でないとあのやることができ,あーそうなんですか,はあか
11559,1964年昭和,あーはいはいはい,お城ですか
14796,1964年昭和,うんうーん六十四年,ああはい乗っ
9024,1センチ5ミリぐらいの,そうです,あ
7435,1回も行っておりませんので,あーそうなんですか,あっ
14487,1回も行っておりませんので,ああ,う
1947,1回も行っておりませんので,あー遠のいてしまったんですね,覚えーん
651,1回も行っておりませんので,あ,あなすね
861,1回も行っておりませんので,あーそーなんですねー,あ軍人ですはい
671,1回も行っておりませんので,あーそうなんですね,そうですね
14365,1回も行っておりませんので,そうなんですか,そう
19696,1回も行っておりませんのでもう,お姉ちゃんといつも,そそうそうなんですね
14064,1回も行っておりませんのでもうここ,うーん,あーん
833,1日中家にいながらも,ああ,あええんですか
18660,1日中家にいながらも,あそうなんですか,あー
11676,1日中家にいながらも,うーんあ,あーそんですか
14208,1日中家にいながらもあの,おうちでですね,へえ
14234,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,あっそうなんですね
13338,1日中家にいながらもあのやっておりまして,あーはいはい,あっ
12308,1日中家にいながらもあのやっておりまして,多趣味うん,はは
8958,1日中家にいながらもあのやっておりまして,へえ,あー先生ですか
7687,1日中家にいながらもあのやっておりまして,あっ,ふーん
