,input,answer,predict
457,11時半頃,いらっしゃったうーん,あー
7866,11時半頃,十一時半に,あー
2131,15分ぐらいまで,あっ,あですです
6635,15分ぐらいまで,十五分,あ
4986,15分ぐらいまで駅に,あはい,そう
14801,15分ぐらいまで駅に,15分はい,うーん
13829,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,そう
15770,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,あえ
1010,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,あーんですか
539,15分ぐらいまで駅に着くまでにかかりました,あそうですか,あー
5097,15分前に,あっ,へえ
252,15分前に,通りああ,あそうなんですか
11010,15分前に,や,あー
19411,15分前に,凄いです,あーなんですか
18196,15分前に事務所に,十五分前で,そう
1327,15分前に事務所に,あっ,そう
783,15分前に事務所に着きました,そうなんですね,あ
12393,15分前に事務所に着きました,あーそーなんですねー,あー
2357,15分前に事務所に着きました,あ丁度いい具合に,あー
220,15分前に事務所に着きました,あそうなんですね,あです
2713,15分前に事務所に着きました,あ計画通りで,そう
3106,15分前に事務所に着きました,あ,そう
7517,15分前に事務所に着きました,あそうですか,あーそうなんですか
2387,15分前に事務所に着きました,あーはい,そう
363,16年間その先生にお世話になって,長いですね,そう
11752,16年間その先生にお世話になって,十六年もですか,あー
10437,16年間その先生にお世話になって,あー長い間,そう
1054,18歳以上でないとあのやる,うーん,あ諦め
19874,18歳以上でないとあのやる,あっ,あー
7659,18歳以上でないとあのやることができ,あっそうなんですね,あーです
12729,18歳以上でないとあのやることができ,ああ,そう
7403,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,あ
15962,18歳以上でないとあのやることができ,ああ,そう
88,18歳以上でないとあのやることができ,あーそうなんですか,あー
16794,1964年昭和,うんうーん六十四年,そう
7265,1964年昭和,あーはいはいはい,あはい
9987,1センチ5ミリぐらいの,そうです,あそうんです
2082,1回も行っておりませんので,ああ,あですです
6453,1回も行っておりませんので,あーそうなんですか,あ
4574,1回も行っておりませんので,そうなんですか,あー
651,1回も行っておりませんので,あ,あーです
145,1回も行っておりませんので,あーそーなんですねー,あー
4518,1回も行っておりませんので,あー遠のいてしまったんですね,あですです
10146,1回も行っておりませんので,あーそうなんですね,あーですです
10066,1回も行っておりませんのでもう,お姉ちゃんといつも,あーですです
2667,1回も行っておりませんのでもうここ,うーん,あー
833,1日中家にいながらも,ああ,あそう
4780,1日中家にいながらも,うーんあ,あーです
15224,1日中家にいながらも,あそうなんですか,そう
19137,1日中家にいながらもあの,おうちでですね,あそうなんです
17742,1日中家にいながらもあのやっておりまして,へえ,そうです
1085,1日中家にいながらもあのやっておりまして,あっ,そうです
8033,1日中家にいながらもあのやっておりまして,あーはいはい,あーなんですです
4942,1日中家にいながらもあのやっておりまして,多趣味うん,あー
7078,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,ドライブ
265,1時間ぐらい前に,あへー,あそうななですです
392,1時間ぐらい前に,一時間もですか,あー
12303,1時間ぐらい前に,えー,あですです
10150,1泊泊まって,あ,あそうです
4667,1泊泊まって,へえ,あー
13281,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あーそーですか,そう
2257,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あはいそうなんですか,あー
1834,1番っていわれるとわたくしはちょっと戸惑ってしまいます,うーん,あーんです
5452,20代だいぶ昔の話ですけれども,あはい,そうですです
4917,20代だいぶ昔の話ですけれども20代の後半に,あ,あー
187,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,あはいあそうなんですね,そう
4207,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええああ女子,はい
14554,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええあー,あ
532,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,へーはい,あ
10766,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あーですです
5254,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あはいです
8058,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,ああ,あー
2707,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,あ,はい
14707,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に,あー,あ
17545,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あ,あー
4305,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,いいですね,あはい
16560,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あー,はいありがとうございます嬉しかっふ
2933,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,いいですね,あそう
5683,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,うーん,あーなんですか
4110,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,軽井沢に,そう
1103,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に,旅行,あそうなんですか
10895,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に行こうということに,あ,あーですです
5856,20年代戦後間もない,二十年代戦後ですね,あーんですです
7065,20年代戦後間もない頃ですが,そうですよね,あはい
109,20年代戦後間もない頃ですが,あーはいはい,あははは
3033,2つのおはじきの,ええええええああああ,あそう
8667,2つのおはじきの,ああ,あーそうなんですか
5872,2つのおはじきのあいだを,指でうん,あそうなんです
2138,2つのおはじきのあいだを,あーそうでしたね,あそう
18349,2つのおはじきのあいだを,あはい,あー
10607,2つのおはじきのあいだを,あーはいはいはい,そうですです
19166,2つのおはじきを,はいうん二つの,そうですねそうですです
18622,2人して何かあのー計画しあのー,はいはいへー,うーん
18096,2人して何かあのー計画しあのー,うんわーうーん,そう
18699,2年で辞めまして,あーはい,あー
7685,2年で辞めまして,はいあーそうだったんですか,あはい
17286,2年で辞めまして,そうなんですか,あそうそうですです
3854,2年で辞めまして,はいあ,あはい
3879,2年で辞めまして,えっ,あー
6052,2年で辞めまして,あはい,そうですです
17910,2年で辞めまして,ええあはい,あーそうです
12454,2年で辞めまして,あーそうだったんですか,あー
13744,2年で辞めましてその後,そうなんですか,あはい
12810,2年で辞めましてその後文化服装学院の大学の,あはい,あはい
2129,2年で辞めましてその後文化服装学院の大学の方に入りまして,そちらのほうにええ,あー
6066,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で,ああ,うーんもらいたいこと
3823,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,あーそうなんですねー,あそうなんですです
15621,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,へー凄い,あ
18653,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,あデザイン科で勉強されて,あ
4629,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして,ええ凄いですね,あー
3343,2年で辞めましてその後文化服装学院の大学の方に入りましてデザイン科で勉強しまして4年間そこに行きました,あ,うーん
18874,2年連続,はい二年連続で,あー
4959,2本のうち1本当たりましたので,わっ素晴らしい,あそうなんですです
18205,2本のうち1本当たりましたので,やっ凄いですー視力がいいんですね,あは
17992,2本のうち1本当たりましたので,わー凄いですね,そうです
13128,2本のうち1本当たりましたので,わーす素晴らしいですねー,うーん
16918,2本のうち1本当たりましたので,あっわー凄いですね,あそうですです
10897,2本のうち1本当たりましたので,へー,あ
14639,2本のうち1本当たりましたので,あ,あそうなんですか
18913,2本のうち1本当たりましたので,あー良かったです,凄い
11396,2泊,わーそうですかー,あーですです
12865,2泊,二泊,あんですか
8888,2泊,二泊,あです
13344,2泊泊まってそれで,あ,あはい
18572,2泊泊まってそれで,へえ,うーん
4845,2泊泊まってそれで年末の,泊まられて,あそうなんですです
7303,2泊泊まってそれで年末の31日に,あ,あ
14107,2泊泊まってそれで年末の31日に父親が,えっそんなに,あ
15836,2泊泊まってそれで年末の31日に父親が,年末から,あそうそうですです
14892,2泊泊まってそれで年末の31日に父親が迎えに来て帰って,あー,あ
15512,300メートルばかり,ええ,そう
590,30人,ほー,あそうなんですか
18687,30人,あ,あそうなんです
9037,30人,三十名で,あそうんです
13555,30人,ええ,あはい
12313,30人,はー,あー
5028,30人,えっ三十人も,ドライブ
10721,30人,三十人も,あー
4101,30人,ほー,あそうなんです
470,30人,えっ,あ
14436,30人,はいあー,あそうですです
2325,30人,うーん,あー
4723,31日に,そうですよね,あそうなんですです
9549,31日に帰っていくのですが,あーそうだったんですねー,あはい
9392,31日に帰っていくのですが,あー,あはいですです
11960,31日に帰っていくのですが,へえ,あー
14741,31日に帰っていくのですが私は,はあ,そう
17614,31日に帰っていくのですが私は,そうなんです,そう
5915,31日に帰っていくのですが私はその子と会うのがとても楽しみで,ええええええええそうですよね,あはい
5100,31日に帰っていくのですが私はその子と会うのがとても楽しみで,そうですね楽しいですね,あですです
3751,31日に帰っていくのですが私はその子と会うのがとても楽しみで,うんあそうなんですか,あそうなんです
2537,31日に帰っていくのですが私はその子と会うのがとても楽しみで,可愛い,あ
18659,31日に帰っていくのですが私はその子と会うのがとても楽しみで,そうですね,あー
11788,39年ですけれども,三十そうですねはい,あーんですか
13675,39年ですけれども,よん三十九年ですかねええ,あそうんですです
5628,3人とも勤め先が違いますので,あーはい,ドライブ
8051,3人とも勤め先が違いますのでえーとどこの駅でしたか集合ということで急行電車に,待ち合わせして,あ
18446,3年間の,良かったですね,そう
9051,3年間の,凄い,あ
1578,3年間の付き合いを持って,はぁー,あ
14854,3年間の付き合いを持って,やりましたねええ,あ
6669,3年間の付き合いを持って,うーん,あー
7875,3年間の付き合いを持って,へえ,あ
12014,40代の,えー三十,あーです
5511,40代の,凄い,あはい
18508,40代の,大正琴三十年やってるんですか,あー
5878,40代の終わりから,あーはいはい,ドライブ
16490,40代の終わりから現在まで,あ,あそうそうなですです
12551,40代の終わりから現在まで,わーずーっと,うーん
19526,40代の終わりから現在まで,へえ,あそうですです
2831,40代の終わりから現在までえー,今まで,あは
9340,40代の終わりから現在までえーやってます,あーはいはい,そう
1896,40代の終わりから現在までえーやってます,そんなに長くですか,あ
18310,40代の終わりから現在までえーやってます,あーお好きなんですね,あーそうです
15600,40代の終わりから現在までえーやってます,すごいですねー,あ
13930,40代の終わりから現在までえーやってます,はいそうですか,そうですね
16889,40代の終わりから現在までえーやってます,あっはー長いですね,あそうですですです
5921,40分の,特にええええ,あそうなんですか
6862,40分の道のりですのでね,ええそうですね,あはです
6636,40分の道のりですのでね,ええうん結構長いですね,あ
13275,40分の道のりですのでね,うーんそうですね結構ありますもんね,あそうんですです
8578,40分の道のりですのでね,うーん長いですね,そうんですか
12391,40分の道のりですのでね,ええ長いですね,そう
17382,4かぐらいは,もうええ,あ
3701,4かぐらいは,はい四日も,あそうなんです
6231,4年の所を優待生で,あ,あです
6564,4年の所を優待生で,えー,あそうですです
211,4年の所を優待生で3年間で,えっ優待生,あー
1689,4年の所を優待生で3年間で,はー,あー
17913,4年の所を優待生で3年間で,へえ,凄い
10406,4年の所を優待生で3年間で,ああ,あー
11324,4年の所を優待生で3年間で終了させていただきまして,凄いはい,うーん
5104,4年の所を優待生で3年間で終了させていただきまして,うわーはいわー凄い,あはいです
19668,4年の所を優待生で3年間で終了させていただきまして,はい,そう
10448,4年の所を優待生で3年間で終了させていただきまして,へー凄いはい,そう
8772,4年の所を優待生で3年間で終了させていただきまして,わー凄いですね,あです
17874,4年の所を優待生で3年間で終了させていただきまして,へー,あー
1060,4年の所を優待生で3年間で終了させていただきまして,凄い優秀ですね,あーんですか
3423,4年の所を優待生で3年間で終了させていただきまして,えー素晴らしい,あそうなんですです
19685,4年の所を優待生で3年間で終了させていただきまして,まーあそうなんですね,あんです
18035,4年の所を優待生で3年間で終了させていただきまして,凄いうん,あんです
13414,4年の所を優待生で3年間で終了させていただきまして,すごいですねー3年,あ
7417,4年の所を優待生で3年間で終了させていただきまして彼女も,さすがうん,そうです
675,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生の,あ,あーなんですか
14829,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生のお手伝いを,そうなんですね,そう
10120,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生のお手伝いをしながら,へえ,あーですです
19943,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生のお手伝いをしながら,わー優秀なんですね,あです
19621,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生のお手伝いをしながら,あはい,あ
3638,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生のお手伝いをしながら,えー同じように,あです
734,4年の所を優待生で3年間で終了させていただきまして彼女も1年間はその学校に残りまして先生のお手伝いをしながら,やー同じですね,あ
6308,4泊泊まって,あ四泊も,そう
11956,4泊泊まって,四泊ですか,あー
19013,4泊泊まって,凄く長くなったんで,凄い
8909,4泊泊まって,あはい,あーです
19407,4泊泊まって,ああああ凄い,はいはい
10398,4泊泊まって,あーはいはい,そう
4793,4泊泊まって,うわーすごい4泊,うーん
17056,4泊泊まって,あ,あです
7404,5センチ10センチぐらいづつに,あっはい,あはいです
1313,5センチ10センチぐらいづつに刻んで,はい少しづつですね,そう
13896,5センチ10センチぐらいづつに刻んで,あー,あー
4801,5センチ10センチぐらいづつに刻んで,そうですね,あそうなんです
12047,5センチ10センチぐらいづつに刻んでま適当ですけれども,高さなんですねうーん,あ
16094,60年間,えっ,そう
13882,60年間やっていますので,うわーすごいですねー,あです
4822,60年間やっていますので,えーえー,そう
2704,60年間やっていますので,あそんなに長く,あはい
19582,60年間やっていますので,あっ凄い長いですね,あそうなんですか
11131,60年間やっていますので,六十年やってるんですか,あ
5621,60年間やっていますので,へー六十年も,あそうなんですか
1106,60年間やっていますので,ええ,あですです
218,60年間やっていますので,わあ,そう
709,60年間やっていますので,すごく,あ
4488,60年間やっていますので,はあ,あです
907,60年間やっていますので,六十年もですか,そう
7812,6年前,あ六年前に,あー
18255,6年前,六年前ですか,あは
10255,6年前,えっ,あーんです
11597,6年前,えっ,あ
19934,6月に,はい,あーですです
17462,88とか90歳ってことはおお祝いをしますよね,そうですよね,そう
12386,88とか90歳ってことはおお祝いをしますよね,はいあーそうですね,あーです
5338,88とか90歳ってことはおお祝いをしますよね,あーはいはい,あそうですです
16261,88とか90歳ってことはおお祝いをしますよね,うんしま,あーそうなんです
12293,88とか90歳ってことはおお祝いをしますよね,あはいはいしますします,あー
1266,88とか90歳ってことはおお祝いをしますよねそう,しますねー,あーんですです
3136,88とか90歳ってことはおお祝いをしますよねそういうのを,しますね,そう
3762,88とか90歳ってことはおお祝いをしますよねそういうのを,します,そうです
981,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,ええあそうなんですかー,あですです
1357,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あそうなんですか,あー
16052,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あー,あですです
4313,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あーそうなんですかー,そう
328,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あなんでですか,あ
595,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,えーどうしてでしょうか,あー
16482,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あそうなんですか,あ
14379,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あっそうなんですか,そう
4668,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,あそうですか,あですです
6694,88とか90歳ってことはおお祝いをしますよねそういうのを全部断るんですよね,え,あー
5524,8年ぐらいは,八年ですか,そうですですです
2959,8年ぐらいは,うーんはい,あそうなんですです
19786,8年ぐらいは,ああ,あはい
12308,8年ぐらいは,あそうですか,あ
15174,8年ぐらいは,ええああ,そう
207,8歳くらいまでは色々何か,えうん,そう
6165,8歳くらいまでは色々何かおっかないような,はあ,あはい
467,8歳くらいまでは色々何かおっかないような感じが,あはっは,あーなんです
61,8歳くらいまでは色々何かおっかないような感じがしたりする,そうですね,あそうですです
6678,8歳くらいまでは色々何かおっかないような感じがしたりする,あそうなんですか,ドライブ
12494,8歳くらいまでは色々何かおっかないような感じがしたりする,あー,あです
12605,8歳くらいまでは色々何かおっかないような感じがしたりする,あー,あはい
10356,8歳くらいまでは色々何かおっかないような感じがしたりする,はいそうですね,あー
2771,8歳くらいまでは色々何かおっかないような感じがしたりすることも,うーん,そう
5843,8歳くらいまでは色々何かおっかないような感じがしたりすることも,そうですよね,はい
13312,8歳くらいまでは色々何かおっかないような感じがしたりすることも,あーそうかもしれないですねーうーん,そう
3126,8歳くらいまでは色々何かおっかないような感じがしたりすることも,小さいから,そう
19636,8歳くらいまでは色々何かおっかないような感じがしたりすることもありましたけれども,えーええ,あはい
16791,8歳くらいまでは色々何かおっかないような感じがしたりすることもありましたけれども,そうですね,あー
15181,8歳くらいまでは色々何かおっかないような感じがしたりすることもありましたけれども,はいありましたありました,あはい
13428,8歳くらいまでは色々何かおっかないような感じがしたりすることもありましたけれども,そうですよね,うーん
11974,あ,うんうーんなんでしょうかね,うーん
12078,あ,ええはいあとはうんはい,あー
11688,あうなる,なれたらいいなって,あーんですか
3513,あうなることができたら,ええなれたらいいですよねー,そう
9442,あうなることができたら,そうです,あはいですです
18151,あうなることができたら,そうです,そう
298,あうなることができたらそれがいいんではないかなと,そうですよね,そう
13824,あうなることができたらそれがいいんではないかなと,はあそうですね,あんですです
15553,あうなることができたらそれがいいんではないかなと,うーん,あそうなんですか
5475,あうなることができたらそれがいいんではないかなと,そうですねー,あ
17416,あうなることができたらそれがいいんではないかなと,そうですそれ,あそうなんですか
3507,あうなることができたらそれがいいんではないかなと,いいですよねー,はい
5969,あうなることができたらそれがいいんではないかなと思ったりしております,はいほんとですね,あー
1793,あうなることができたらそれがいいんではないかなと思ったりしております,はいはい,あそうなんですか
1742,あうなることができたらそれがいいんではないかなと思ったりしております,そうですはいはい,あーそうなんです
6097,あうなることができたらそれがいいんではないかなと思ったりしております,一番いいことですええはい,へえ
17543,あうなることができたらそれがいいんではないかなと思ったりしております,うんそうですよね,あです
12656,あうなることができたらそれがいいんではないかなと思ったりしております,はいそうなんですね,あそうですです
100,あきらめていましたので,あーはいはいはいはい,あそうですです
10280,あきらめていましたので,うーんうん2か月たってるから,あはい
19928,あきらめていましたので,そうですよね,そう
12079,あきらめていましたので,あー,そう
16735,あきらめていましたので,えー諦めてらしたんですか,あそうなんですか
3817,あきらめていましたので,そうですよね,あー
4126,あげたいと言って,へー,そう
1346,あげたいと言って,そーですかー,あ
15486,あげたいと言って,あーそうですかー,あそうそうですです
7934,あげられる,る,そう
6941,あげられる自分で最後まで元気でいたいです,あ素晴らしいですね,そう
631,あげられる自分で最後まで元気でいたいです,はーそうですか,あーです
15396,あげられる自分で最後まで元気でいたいです,あーはいそうですね,あー
7094,あげられる自分で最後まで元気でいたいです,そうですね,あー
5464,あげられる自分で最後まで元気でいたいです,あーでもすごいいいことですよねー素晴らしいこと,あそうですです
16420,あげられる自分で最後まで元気でいたいです,そうですよねー,あえ
326,あげるようにと,えー,そう
3992,あげるようにと,そうなんですか,あー
9434,あげるようにと,うーん,そう
