,input,answer,predict,bleu
0,11時半頃,十一時半に,二年五回もはか,0.0
1,11時半頃,いらっしゃったうーん,二年五回もはか,0.0
2,15分ぐらいまで,十五分,十られたんですね,1.1640469867513693e-231
3,15分ぐらいまで,あっ,十られたんですね,1.1640469867513693e-231
4,15分ぐらいまで駅に,あはい,はい,6.702145341854094e-232
5,15分ぐらいまで駅に,15分はい,はい,6.702145341854094e-232
6,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,はい早くあそうだったんですね,0.5911602603314157
7,15分ぐらいまで駅に着くまでにかかりました,あそうですか,はい早くあそうだったんですね,0.5911602603314157
8,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,はい早くあそうだったんですね,0.5911602603314157
9,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,はい早くあそうだったんですね,0.5911602603314157
10,15分前に,凄いです,六られたんですね,1.1640469867513693e-231
11,15分前に,予定通りああ,六られたんですね,1.1640469867513693e-231
12,15分前に,や,六られたんですね,1.1640469867513693e-231
13,15分前に,あっ,六られたんですね,1.1640469867513693e-231
14,15分前に事務所に,あっ,そうなんですか,0.0
15,15分前に事務所に,十五分前で,そうなんですか,0.0
16,15分前に事務所に着きました,そうなんですね,あそうなんですねー,1.0
17,15分前に事務所に着きました,あーはい,あそうなんですねー,1.0
18,15分前に事務所に着きました,あ丁度いい具合に,あそうなんですねー,1.0
19,15分前に事務所に着きました,あそうなんですね,あそうなんですねー,1.0
20,15分前に事務所に着きました,あ,あそうなんですねー,1.0
21,15分前に事務所に着きました,あ計画通りで,あそうなんですねー,1.0
22,15分前に事務所に着きました,あそうですか,あそうなんですねー,1.0
23,15分前に事務所に着きました,あーそーなんですねー,あそうなんですねー,1.0
24,16年間その先生にお世話になって,長いですね,十六年もですか,1.0
25,16年間その先生にお世話になって,あー長い間,十六年もですか,1.0
26,16年間その先生にお世話になって,十六年もですか,十六年もですか,1.0
27,18歳以上でないとあのやる,うーん,あー,0.0
28,18歳以上でないとあのやる,あっ,あー,0.0
29,18歳以上でないとあのやることができ,あっそうなんですね,あ,0.0
30,18歳以上でないとあのやることができ,ああ,あ,0.0
31,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,あ,0.0
32,18歳以上でないとあのやることができ,ああ,あ,0.0
33,18歳以上でないとあのやることができ,あーそうなんですか,あ,0.0
34,1964年昭和,うんうーん六十四年,はいされるんですね,0.0
35,1964年昭和,あーはいはいはい,はいされるんですね,0.0
36,1センチ5ミリぐらいの,そうです,です,6.702145341854094e-232
37,1回も行っておりませんので,そうなんですか,はいうーんそうだったんですね,0.3655552228545123
38,1回も行っておりませんので,あーそーなんですねー,はいうーんそうだったんですね,0.3655552228545123
39,1回も行っておりませんので,あー遠のいてしまったんですね,はいうーんそうだったんですね,0.3655552228545123
40,1回も行っておりませんので,あ,はいうーんそうだったんですね,0.3655552228545123
41,1回も行っておりませんので,あーそうなんですか,はいうーんそうだったんですね,0.3655552228545123
42,1回も行っておりませんので,あーそうなんですね,はいうーんそうだったんですね,0.3655552228545123
43,1回も行っておりませんので,ああ,はいうーんそうだったんですね,0.3655552228545123
44,1回も行っておりませんのでもう,お姉ちゃんといつも,ああ,0.0
45,1回も行っておりませんのでもうここ,うーん,ああ,0.0
46,1日中家にいながらも,ああ,あそうなんですね,0.7598356856515925
47,1日中家にいながらも,あそうなんですか,あそうなんですね,0.7598356856515925
48,1日中家にいながらも,うーんあ,あそうなんですね,0.7598356856515925
49,1日中家にいながらもあの,おうちでですね,おーなんですね,8.38826642100846e-155
50,1日中家にいながらもあのやっておりまして,あーはいはい,あーはいはい,1.2213386697554703e-77
51,1日中家にいながらもあのやっておりまして,多趣味うん,あーはいはい,1.2213386697554703e-77
52,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,あーはいはい,1.2213386697554703e-77
