,input,answer,predict,bleu
0,11時半頃,いらっしゃったうーん,うーん,2.4655814830110698e-232
1,11時半頃,十一時半に,わ,0.0
2,15分ぐらいまで,あっ,あー,0.0
3,15分ぐらいまで,十五分,あそうですねあー,0.0
4,15分ぐらいまで駅に,15分はい,あーそうなんですね,0.0
5,15分ぐらいまで駅に,あはい,あはははそうなんですね,1.0518351895246305e-231
6,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,あーうーんうん,1.133422688662942e-154
7,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,へーですねうんうんねーうーん,8.286571670851008e-155
8,15分ぐらいまで駅に着くまでにかかりました,あそうですか,そうですねーうんええうんうんなんですね,4.284993070788676e-78
9,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,そうですねーそうなんですか,1.0148936155293581e-154
10,15分前に,や,はいええ,0.0
11,15分前に,あっ,あ,0.0
12,15分前に,凄いです,あ凄いです,1.133422688662942e-154
13,15分前に事務所に,あっ,うーん,0.0
14,15分前に事務所に,十五分前で,あーうんええうんて,0.0
15,15分前に事務所に着きました,あ丁度いい具合に,うーん,0.0
16,15分前に事務所に着きました,あーはい,ああ,0.0
17,15分前に事務所に着きました,あーそーなんですねー,はいあそうなんですね,6.608446987146148e-78
18,15分前に事務所に着きました,あ計画通りで,そうですか,1.2213386697554703e-77
19,15分前に事務所に着きました,あ,そうですねええですか,9.53091075863908e-155
20,15分前に事務所に着きました,あそうですか,あーそうなんですね,6.562069055463047e-78
21,16年間その先生にお世話になって,長いですね,へーええうんね,1.2882297539194154e-231
22,16年間その先生にお世話になって,あー長い間,へー,0.0
23,16年間その先生にお世話になって,十六年もですか,あー,2.4655814830110698e-232
24,18歳以上でないとあのやる,あっ,あはい,0.0
25,18歳以上でないとあのやることができ,ああ,そうですね,0.0
26,18歳以上でないとあのやることができ,あっそうなんですね,へーーええええうんうんええ,0.0
27,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,あええへー,7.813508425061864e-232
28,18歳以上でないとあのやることができ,ああ,へーです,1.821831989445342e-231
29,1964年昭和,うんうーん六十四年,あはい,5.635809992474887e-232
30,1964年昭和,あーはいはいはい,あ凄いです,0.0
31,1センチ5ミリぐらいの,そうです,あ,0.0
32,1回も行っておりませんので,ああ,へーですねうんうんねーうーん,7.711523862191631e-155
33,1回も行っておりませんので,あーそーなんですねー,あーうんうんうんうんうんんですね,4.335118471269586e-78
34,1回も行っておりませんので,あーそうなんですね,へーええ,0.0
35,1回も行っておりませんので,あー遠のいてしまったんですね,あうーんあそうなんですね,0.5169731539571706
36,1回も行っておりませんので,あーそうなんですか,へえ,0.0
37,1回も行っておりませんので,そうなんですか,へーええうんね,1.0032743411283238e-231
38,1回も行っておりませんのでもう,お姉ちゃんといつも,あそうなんですね,0.0
39,1回も行っておりませんのでもうここ,うーん,そうですね,0.0
40,1日中家にいながらも,うーんあ,あーそうなんですね,0.5081327481546147
41,1日中家にいながらも,あそうなんですか,へー,0.0
42,1日中家にいながらもあの,おうちでですね,わ,0.0
43,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,あ凄いです,0.0
44,1日中家にいながらもあのやっておりまして,多趣味うん,あそうなんですか,0.0
45,1日中家にいながらもあのやっておりまして,あーはいはい,そうですね,0.0
46,1日中家にいながらもあのやっておりまして,へえ,そうですねそうですね,0.0
47,1日中家にいながらもあのやっておりまして,あっ,ええあ,0.0
48,1時間ぐらい前に,えー,うーん,0.0
49,1時間ぐらい前に,あへー,へーへーええうんうんうん,1.1640469867513693e-231
50,1泊泊まって,あ,うーんそうですか,0.0
51,1泊泊まって,へえ,うーん,0.0
52,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あはいそうなんですか,へーへーですね,1.0032743411283238e-231
53,1番っていわれるとわたくしはちょっと戸惑ってしまいます,うーん,あー,1.821831989445342e-231
54,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あーそーですか,あ,1.821831989445342e-231
55,20代だいぶ昔の話ですけれども,あはい,へーええええたですねー,0.0
56,20代だいぶ昔の話ですけれども20代の後半に,あ,へーええ,0.0
57,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええあー,あっあーそうなんですかー,0.3655552228545123
58,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええああ女子,ああ,2.4655814830110698e-232
59,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,あはいあそうなんですね,そうですよね,1.6954057018456463e-231
60,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,へーへーですね,0.0
61,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,へえ,0.0
62,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,ああ,そうですか,0.0
63,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,あ,へーええはええですよね,0.0
64,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に,あー,へーええ,0.0
65,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,いいですね,あっあーそうなんですかー,1.2882297539194154e-231
66,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あ,へーうんですねうん,8.38826642100846e-155
67,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あー,あーそうなんですね,8.38826642100846e-155
68,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,いいですね,あ,0.0
