,input,answer,predict
0,11時半頃,"['いらっしゃったうーん', '十一時半に']",はい
1,15分ぐらいまで,"['十五分', 'あっ']",あ
2,15分ぐらいまで駅に,"['15分はい', 'あはい']",あ
3,15分ぐらいまで駅に着くまでにかかりました,"['はいだったんですねありがとう', 'はいうーんうん', 'ええあそうですねそうだったんですね', 'あそうですか']",あ
4,15分前に,"['予定通りああ', 'や', '凄いです', 'あっ']",はい
5,15分前に事務所に,"['十五分前で', 'あっ']",あ
6,15分前に事務所に着きました,"['あーそーなんですねー', 'そうなんですね', 'あーはい', 'あ計画通りで', 'あ', 'あ', 'あ丁度いい具合に', 'あそうなんですね', 'あそうですか']",あ
7,16年間その先生にお世話になって,"['十六年もですか', 'あー長い間', '長いですね']",凄い
8,18歳以上でないとあのやる,"['あっ', 'うーん']",あ
9,18歳以上でないとあのやることができ,"['ああ', 'へー十八歳以上じゃないと', 'あーそうなんですか', 'あっそうなんですね', 'ああ']",あ
10,1964年昭和,"['うんうーん六十四年', 'あーはいはいはい']",はい
11,1センチ5ミリぐらいの,['そうです'],そう
12,1回も行っておりませんので,"['あーそうなんですね', 'あー遠のいてしまったんですね', 'そうなんですか', 'うーんうーん', 'あ', 'あーそうなんですか', 'ああ', 'あーそーなんですねー', 'はあそうですか']",あー
13,1回も行っておりませんのでもうここ,['うーん'],あー
14,1日中家にいながらも,"['うーんあ', 'あそうなんですか', 'ああ']",あー
15,1日中家にいながらもあの,['おうちでですね'],あー
16,1日中家にいながらもあのやっておりまして,"['ええええへえ', 'へえ', '多趣味うん', 'あっという間に時間た経ちますよね', 'あっ', 'あーはいはい']",あーそうなんですか
17,1時間ぐらい前に,"['あへー', 'えー', '一時間もですか']",あー
18,1泊泊まって,"['あ', 'へえ']",あー
19,1番っていわれるとわたくしはちょっと戸惑ってしまいます,"['うーん', 'あーそーですか', 'あはいそうなんですか']",あそうなんですね
20,20代だいぶ昔の話ですけれども,['あはい'],あ
21,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,"['あはいあそうなんですね', 'ええあー', 'へーはい', 'ええああ女子']",あ
22,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,"['あー', 'あー']",あー
23,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,"['あ', 'ああ']",あー
24,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,"['あ', 'いいですね', 'あー']",あー
