で車に乗せて私とあの家内をですね乗せてくれてあっちこっち行きますで	そうですかー
夏帰って来まして	あー
あのーあちこちに行くと	ああ
えーみんなで集まって	あーそうなんですか
朱色だけでなくてね赤っぽいところ黄色っぽいところ	はいあー
そいで	お仕事してる時が
わたくしは室内デザイナー	はぁー
孫二人とそれからワンちゃん二匹でその世話でもう追われて	それは大変です
していこうかなということを考えましてまーあの長いことえーなが四十年にわたってえー子供たちの	四十年ですか長いんですね
それと私女子医大に長くあの入院しておりまして出たり入ったりしておりましたのでこの辺をちょっとあの存じておりましたので早稲田の方もちょっとお散歩がてら病院から	はー
きたいなと思いますだから今一番自分で思うことは	ええ
えー隠居のような形になってますけどもまだまだ	ご隠居様なんですね
あの今度婦人服を作るほうにお勉強をしまして婦人服の製図卸の会社も立ち上げまして	わーそうだったんですねー
またあー	んー
あ私達じゃない	あっ
園長さんになられた創立なさった方ですが	はいはいサンダースホーム
日本で作って売るということで	ほお
かれこれ七年か八年ぐらいに	そーなんですねー
なんですかね男の	四人ですね
非常に嬉しかったと思っています	おめでとうございます
稼いでねあの家を建てたかったと	あーはは
18歳以上でないとあのやる	うーん
あのー意向は	はいあー
まー英検2級までとったことあるんですけども	凄い
鞄を	そうですね
えー遊んだ記憶があります	懐かしいですねーはい
ま逆に大変な	そーですね
えーと七十過ぎまでお勤めしてましたそれで今度また	苦労したんですね
新聞見ることがちょっと	はーあそうなんですか
はいえーと遅刻しちゃいけないと思いまして	そうですね
何年かに1回ということで家内と	そーですかー
ピーマンの深い緑を	ええ深い緑を
って思いましたまー財閥の娘でもないのでとても	いやー
行っている夢をよく見ることがあります	そうなんですね
とにかく活発な遊びを	あっ
は先生になりたいとは特には思ってないですけど	えっ
踊りそのものが自分であってたんでしょうね	ええねー
ちょこちょこと合間にえーナレーションを入れるというえーディスクジョッキーの走りみたいなことを	へー
財産はいっぱいあるものですから	あははええ
あの滅多に地下鉄は乗らないものだから	あそうですか乗らないんですか
してきましたけども	まー凄い
いうことぐらいです	ねーでも
母の日にあの	はい
えー近くの公園等に行ってえースケッチを始めたのがえーこの趣味の	へー
色んな色を描いてやはり	へえ
えー首に	そうなんですね
あまりにも小さかったからただただそう思ってただけで	あーそーなんですね
で次男夫婦が私たちと一緒に	あっそうなんですねー
もーあっちが痛いこっちが痛いってことになると怖くてできないんですよねですから今はもうそういう趣味的に何かをやるってお稽古事は今は全然やっておりません	あーそうなんですね
あのー楽しむ人生を見つけなければいけないっていうことを若い	そうですねー
えー竹とんぼ竹を切り出してなぶ藪から	あー
ありませんですので	あーそうですか
突然	そうですよね
えーそのかんに	はあ
まそういうことで誘ってくれておりますので	はー
趣味というか	はい
私もまー私の方が年ですから若い方にはできるだけ私も出来ることをさせていただいてきてるんですけどね何かと	ははい
えー昭和49年	はい四十九年
でー父親は88で亡くなりましたけれども	88はーそうなんですねー
軍人になれないんです	あっそーなんですかー
それがアメリカで作って売ってるという	へえ
いい一日を	素晴らしいです
あのなんですかね末っ子だったし何にもすることがないので	あはっは
夫婦は外に出てます	あっ
もうすでにあの会社の実権を息子に譲ってますけども	あっそーなんですねーもー
珍しいお菓子と言って手紙がはを入れ一緒に送ってきてくださったとき	優しいですねー
何曲か	へー
編み物はね必要ないですね北海道だったら	あーあー
えーそういう意味では	ほーんとに
それがわたくしがお寿司が	お弁当
一部に	あー
くるあの電車の中では	電車の中では
えーとスポーツが大好きでですね小さい	スポーツが
コミュニケーションをして仲良くできる	うんほんとに
出張のときは必ず日本の場合は旅館に泊まるというのが	あ
色々なこともできるそういうことが本当にありがたく嬉しく	そうなんですねー
だいぶ前に行ったことがあるんだけど最近は行ったことがないという話をしたらですね	はいえーもうさっそく
要は六十歳以上の人が生き甲斐を見つけると	ああ
葬儀のあいだじゅうそれから食事中終わってからもわたくしのあとばっかりついて初めて会ったのにもかかわらずべったり膝がつくように畳だったのですが	あーそうですか
夢にもよく出て	あそうですか
新宿で大江戸線に乗り換えまして	あはい
先生たちを	へえ
ちょっと	どちらから
その道に進めたかったのですけど私はなんせ小さい時からあの虚弱体質で体が弱かったので体操もあまり学校ではあのすることもできず	あらー
あそれは	難しいかもしれない
健康な体作りにがんばりたいっていうことで週に2回ばかしスポーツに1時間ばかし体を	あっへー
なりかたあのーもし結婚ができればそうじゃないんですけど結婚ができなかった時に自立できるように何か仕事をあの手に仕事を持ったほうがいいんではないかなという風	凄い考えてらっしゃ
そんなに	うーん
えー砂山をつな作りながらまたその砂山がまた海で波でえー洗われて無くなっていくそんな姿をえー見つめながら	はいはー
有罪になってもあとあと面倒みていかなきゃならない	あっそーなんですね
今特に日韓関係がとっても難しいですから	ああそうですねー
嬉しかったこといただいているんですけども	あっはいはい
愛らしくきれいな色で塗る人がいて	わーすごいですねー
本当にこれは麦ご飯と	たいへーん
またもっと日韓中の関係も日中関係もとっても難しいですから	はいそうですねー
まーあの自分の趣味として一番あーにあげられるあのあげるとすればえー絵画あーまー絵を描くことでしょうか	あーはいわーすごーい
あーそうですかそう	あはは
これ	うわー
えーまそれが最近では一番嬉しかったことです	そうですねー私もそう思います
今までやってきたことがまちがってなかったなって	ははは
