,input,answer,predict
0,"葬儀 の あいだ じゅう それ から 食事 中 終わっ て から も わたくし の あと ばっかり つい て 初めて 
","_まー 
","あー 
"
1,"一人 で おてんば でし た 
","_うん 運動 好き だっ た ん だ 
","あー そう な ん です か 
"
2,"泥棒 さん みたい ね って 
","_あー あはは っ はは 
","あー 
"
3,"つい この 間 も です ね 富士 の 芝桜 
","_ほうほう 
","うーん 
"
4,"ただし 
","_そう です ね 
","はい あー 
"
5,"中 の 整理 
","_整理 です か 
","はい はい はー 
"
6,"えー まず 挙げ られる の は ゴルフ です ね 
","_あー はい 
","あー はい はい 
"
7,"了解 を 頂き まし て ね 
","_はあ 
","あー そう な ん です ね 
"
8,"行ける 自信 が ちょ と ない ん です けど も 行ける チャンス が あっ たら また もう 一 度 行っ て みたい な って 思っ て おり ます 
","_はい いらし て ください 
","あー そう な ん です ね 
"
9,"早く あたし の 手 から 孫 ちゃん が 離れる よう に って いう 
","_うーん なるほど 
","あー そう な ん です ね 
"
10,"る こと が できる こと です 
","_ええ あ そう です か 
","あー そう な ん です ね 
"
11,"娘 が ほんと に いとおしく 思い ます 
","_いい お 話 です 
","あー そう な ん です か 
"
12,"で ー 父親 は 8 8 で 亡くなり まし た けれど も 
","_へえ 
","あー そう な ん です か 
"
13,"えー もちろん 汚い 水 だ し 
","_うん そう です ね 
","あー そう な ん です ね 
"
14,"絵 を 習わし て くれ た ん です ね 
","_ええ 
","あー そう な ん です ね 
"
15,"一番 楽しかっ た 嬉しかっ た こと と 
","_嬉しかっ た こと です ね 
","はい 
"
16,"だいぶ 前 に 行っ た こと が ある ん だ けど 最近 は 行っ た こと が ない と いう 話 を し たら です ね 
","_わあ 
","あ そう です ね 
"
17,"ぐらい は 属し てる ん です けど も 
","_あ 
","あー そう な ん です か 
"
18,"そう いう 家 を 建て なく たって そう いう 施設 で 働く と いう 
","_ああ ああ 
","あー 
"
19,"途中 で 
","_まあ そう です 周り が 変わっ てる と そう です ね 
","あー 
"
20,"あと まー 最近 
","_もったい ない 
","あ 
"
21,"ふっふっ と ある うー の か も しれ ませ ん 
","_あー そー です かー へー いい です 
","あー そう な ん です か 
"
22,"えー コミュニケーション の 方法 に は 対話 も あれ ば 文章 を 書い て 
","_あー 
","うーん 
"
23,"遊ぶ 
","_はぁー はは 
","はい あー 
"
24,"小 学校 の 
","_小 学校 の 
","はい あー そう な ん です ね 
"
25,"それ が す ば すべて 結果 と し て その たび その たび でし た けど すべて うまく いっ た って いう の が 私 と し て は いち ばーん 
","_助言 が 良かっ た ん です ね 
","あ そう な ん です ね 
"
26,"可愛く て 可愛く て あー 子供 を 持つ 喜び と 
","_ふー 
","あー そう な ん です ね 
"
27,"んー ない です 
","_あっ そう な ん です か 
","あー そう な ん です か 
"
28,"三 回 から 
","_あー 
","あ はい 
"
29,"1 9 6 4 年 昭和 
","_あー はい はい はい 
","あ はい 
"
