,input,answer,predict
0,とりあえず薄めに塗っといて,に塗って,あはい
1,動機の中にはお互いに仲良くしたいという思いは当然含まれているわけですから,そうだと思いますはい,そうですねよね
2,がっかり残念,あーそ,残念ですよね
3,小さい頃は何も考えてないんですけどまーわかるようになってからそいで暫くは和裁をやっぱり10何年で人に教えるようになりたいなって,ええええおーん,あー
4,いう,ああ,そうですよね
5,いたします,あーそうなんですね,細かいの先生です
6,立派な考えであったということに感動いたしました,あしたんですね,うーんですか
7,かたかもしれませんけどもね,いえいえはい,そうなんですね
8,あ好きで,立派です,あーですね
9,えー買いましてね,あーおうちですね,さすがですね
10,まー何しろ色々なものに興味がありまして年甲斐もないって言われますがお友達にはまだまだ私は前向きに,ねえそうですよね,すばらしそーですねー
11,と思ってるんですけど,そうなんですか,うーんですね
12,辿り着くことが,あっ,あはい
13,えとそうですねあと60の手習いでパソコンも覚えまして今ではその,ふーん,えらいですか
14,今はまあ若干歳とともに飛距離等が落ちてきておりますのでえースコアも若干落ちてますけれどもそれでも同年代の人に比べたらですねまだまだ十分いけるということで今でも,凄いですね,すごいですね
15,見つけるというのが目標にしています,ふーんはあ,凄いですね
16,一応三つまとめてみました,あ,わー素晴らしいですね
17,そのまま毎年,ああ,凄い丈夫が
18,んーあと何を言うんですかね,あはっはいお願いします,ふふふ
19,今一番してもらいたいことはここでちょっと肩が凝ったんでマッサージしてもらいたいです,あっはははっははっははは,あはははははは
20,それと半紙いーが置いてありまして,へえ,あそうなんですか
21,思ったよりもあの早めにあの退院ができたことがみんなでお祝いをしてあげて喜んでもらえました,そうですね良かったです,良かったです
22,から今今申し上げた女の子は今は24歳ですけれども一番下の男の子はですね今あの小学校3年生です,あそうですか,あはい離れてるん
23,今に至っております,はいうふっうん,そうですね希望の会社に入られ
24,蘭の花をもって2人で,へー,えー
25,まーこういう風な内容の趣味のことをこれからも続けていけたらなという風に,うんそうですね,そうですね
26,今のわたくしの心情でございます,あーそうなんですねー,あーそうなんですか
27,まー何しろ,本読むこと,す
28,心配はしておりました,あそうなんですね,うーんですね
29,そうやってコミュニケーションをすることがわたくしにとって最大の趣味だといえると思います,うーんいいことですよね,はいそうなんですね
30,今度は,てからは,そう
31,勉強ができなかったでしょうね,あは,そうですよね
32,英語をで話しかけるとか,凄い,はあね
33,美容師に憧れておりましたでも周りがみんな反対したんでそれは諦めました,あ,あーですか
34,そんな東京の馬の骨ともわからないもの,そんなではないですよね,あ
35,大学に入っても続けてラグビーをやりました,そうなんですか,あーそうなんですか
36,うわーっと,はあ,器用ですね
37,のま神様みたいなものも手伝ってくれたんでしょうけども,うーんあるんですかね,幸運ふい神様なんですね
38,それ以外にも仕事の事えー個人的な趣味の事色々楽しかっ嬉しかった,あ,そうですか
39,先生たちを,あ,あー
40,で楽しんでおります,素晴らしいうん,はいあそうなん
41,ま自分自身の中でやはりそれが一番あー嬉しかったかなーということで作文にはそのように記載をしました,はいありがとうございます,あそうなんです
42,大掃除とそれから片付けることを,そうですそうです,あははは
43,そのリリアンと,はっ,あそうなんです
44,趣味とまー,ああ,はい
45,私は,あー,そう
46,ごめんなさいわかりません,いえはい,いえいえいえですか
47,あー血圧が高いために,あそうですか,あそうなんです
48,中学時代はバスケット,バスケット,バスケット
49,からは,はいどうでしょう,そう
50,あのプレイなんですねですから,ああああ,あー瞬発力とか
